sku,compatible_with,manufacturer
170-71-023,,NORRIS
,,
,,
,,
,,
170-77-121,,NORRIS
,,
,,
,,
,,
170-77-521,,NORRIS
,,
,,
,,
,,
32621001,,WASHTECH
,,
,,
,,
,,
32661001,,WASHTECH
,,
,,
,,
,,
32822,,WASHTECH
,,
,,
,,
,,
32V2060,,ANGELO PO
,,
,,
,,
,,
500031700,,MACH
,,
,,
,,
,,
SS-203,,ESWOOD
,,
,,
SS-221,,ESWOOD
,,
,,
,,
,,
SS-251,,ESWOOD
,,
,,
,,
,,
SS-257,,ESWOOD
,,
,,
,,
,,
Z213002,,FAGOR
,,
,,
,,
,,
Z243004,,FAGOR
,,
,,
,,
,,
Z403002,,FAGOR
,,
,,
,,
,,
Z713055,,FAGOR
,,
,,
,,
,,
0.977.113,,S.I.T.
,,
,,
0.977.119,,S.I.T.
,,
,,
144010,14.40.10 SMARTWASH,HOBART
,,
,,
144030,14.40.30 ESWOOD SMARTWASH,"ESWOOD SMARTWASH, NORRIS MADISON"
,,
,,
352415DC,,VARIOUS
,,
,,
352417DC,,VARIOUS
,,
,,
372415,,VARIOUS
,,
,,
372417,,VARIOUS
,,
,,
372435,,VARIOUS
,,
,,
372437,,VARIOUS
,,
,,
373015,,VARIOUS
,,
,,
373017,,VARIOUS
,,
,,
373019,,VARIOUS
,,
,,
373021,,VARIOUS
,,
,,
373035,,VARIOUS
,,
,,
373037,,VARIOUS
,,
,,
373045,,VARIOUS
,,
,,
50.01.050,,RATIONAL
,,
,,
60060053,600 60053,WASHTECH
,,
,,
Z231106,,VARIOUS
,,
,,
775759-1,00-775759-001,HOBART
,,
,,
,,
90614,,ZIP
,,
,,
DEV1,,HOBART
,,
,,
M20C5,,VARIOUS
,,
,,
M20D5,,VARIOUS
,,
,,
M20E5,,VARIOUS
,,
,,
ODWMC20,,VARIOUS
,,
,,
PF-613/614,,VARIOUS
,,
,,
01-240205-1,,
,,
013-12-304,,NORRIS
,,
,,
013-22-001,,NORRIS
,,
,,
013-55-828,,NORRIS
,,
,,
10218,,RHIMA
,,
,,
10257,,RHIMA
,,
,,
10259,,RHIMA
,,
,,
10261,,RHIMA
,,
,,
129039,,HOBART
,,
,,
129068,,HOBART
,,
,,
140010-1,,"HOBART, ESWOOD SMARTWASH, NORRIS MADISON"
,,
,,
160719,,ESWOOD
,,
,,
160736,,WASHTECH
,,
,,
,,
170915-1,,ESWOOD
,,
,,
170916-1,,ESWOOD
,,
,,
170947,,WASHTECH
,,
,,
170956,,WASHTECH
,,
,,
190624,C190624,WASHTECH
,,
,,
40030072,400 30072,WASHTECH
,,
,,
40030074,400 30074,WASHTECH
,,
,,
40030187,400 30187,WASHTECH
,,
,,
420526,,WASHTECH
,,
,,
420531,,WASHTECH
,,
,,
454002,,
,,
513186000,,MACH
,,
,,
60040005,600 40005,WASHTECH
,,
,,
,,
60040015,600 40015,WASHTECH
,,
,,
,,
60040046,600 40046,WASHTECH
,,
,,
,,
60040047,600 40047,WASHTECH
,,
,,
,,
60041148,600 41148,WASHTECH
,,
,,
69312,,HOBART 
,,
,,
75317,,RHIMA
,,
,,
75320,,RHIMA
,,
,,
80282,,HOBART
,,
,,
80310,,HOBART
,,
,,
80311,,HOBART
,,
,,
80314,,HOBART
,,
,,
80316,,HOBART
,,
,,
883454-1,00-883454-001,HOBART
,,
,,
883974-1,00-883974-001,HOBART
,,
,,
926129,,HOBART
,,
,,
926169,,HOBART
,,
,,
926171,,HOBART
,,
,,
929196,,HOBART
,,
,,
99.01.10,,
,,
,,
990108,,HOBART
,,
,,
990110,99.01.10 SMARTWASH,"HOBART, ESWOOD SMARTWASH"
,,
,,
990113,99.01.13 ESWOOD SMARTWASH,ESWOOD SMARTWASH
,,
,,
A-1814,,ESWOOD
,,
,,
A-1917-2 (Large),,ESWOOD
,,
,,
A-1917-4 (Medium),,ESWOOD
,,
,,
A-2485,,ESWOOD
,,
,,
Z410704,"Z410704000, 12025216",FAGOR
,,
,,
Z650704,Z650704000,FAGOR
,,
,,
Z650716,"Z650716000, 12025122",FAGOR
,,
,,
Z710701,"Z710701000, 12003421",FAGOR
,,
,,
Z710712,"Z710712000, 12025116",FAGOR
,,
,,
01-240783-1,,HOBART
,,
,,
,,
,,
48216,,ZANUSSI/ELECTROLUX
,,
,,
,,
,,
0L0092,,ZANUSSI/ELECTROLUX
,,
,,
,,
,,
0L0126,,ZANUSSI/ELECTROLUX
,,
,,
,,
,,
0L0564,0L0060 ,ZANUSSI/ELECTROLUX
,,
,,
0L1914,,ZANUSSI/ELECTROLUX
,,
,,
,,
,,
100801,,COMENDA
,,
,,
,,
,,
130109,,HOBART
,,
,,
,,
,,
130977,13.09.77 SMARTWASH,"ESWOOD SMARTWASH, NORRIS MADISON"
,,
,,
,,
,,
130987,,HOBART
,,
,,
,,
,,
135127-4,,HOBART
,,
,,
,,
136056-1,,HOBART
,,
,,
136-10-379-OS,BT2000 RINSE PUMP,NORRIS
,,
,,
,,
,,
136-10-760,,NORRIS
,,
,,
,,
,,
150914,,RHIMA
,,
,,
,,
,,
15913,,RHIMA
,,
,,
,,
,,
195753-1,,HOBART
,,
,,
,,
,,
195753-1 KIT,,HOBART
,,
,,
31682,,BRACTON
,,
,,
,,
,,
33843,,
,,
,,
34800,,BRACTON
,,
,,
,,
,,
35143,MR BRACTON,COMENDA
,,
,,
,,
,,
3888,,WASHTECH
,,
,,
,,
,,
3906,,WASHTECH
,,
,,
,,
,,
60030299,600 30299,WASHTECH
,,
,,
,,
,,
69120,,HOBART
,,
,,
,,
,,
69122,,NORRIS
,,
,,
,,
,,
7.30.48,,ESWOOD SMARTWASH
,,
,,
,,
,,
743388,,HOBART
,,
,,
,,
,,
80112,,HOBART
,,
,,
,,
,,
80115,80115,HOBART
,,
,,
,,
,,
883526-1,,HOBART
,,
,,
,,
,,
883617-1,00-883617-001,HOBART
,,
,,
,,
,,
927135,,HOBART
,,
,,
,,
,,
927136,,HOBART
,,
,,
,,
,,
99.91.35,,
,,
,,
999135,99.91.35 SMARTWASH,"HOBART, ESWOOD SMARTWASH, NORRIS MADISON, EUROWASH"
,,
,,
,,
,,
C-0450UC,,ESWOOD
,,
,,
,,
,,
C-0590,,ESWOOD
,,
,,
,,
,,
C-10511,,ESWOOD
,,
,,
,,
,,
C-10575,,ESWOOD
,,
,,
,,
,,
C-10580,,ESWOOD
,,
,,
,,
,,
C1121,,ESWOOD
,,
,,
C-12055E,,ESWOOD
,,
,,
,,
,,
C-12275,,ESWOOD
,,
,,
,,
,,
C-6300,,ESWOOD
,,
,,
,,
,,
,,
,,
,,
,,
,,
C631618,,WASHTECH
,,
,,
C-7290E,,ESWOOD
,,
,,
CAP10,,VARIOUS
,,
,,
CAP12,,VARIOUS
,,
,,
CAP12.5,,VARIOUS
,,
,,
CAP16,,VARIOUS
,,
,,
CAP4,,VARIOUS
,,
,,
CAP5,,VARIOUS
,,
,,
CAP6.3,,VARIOUS
,,
,,
CAP8,,VARIOUS
,,
,,
DH18300,,RHIMA
,,
,,
,,
,,
DPE2640,926150,HOBART
,,
,,
,,
,,
MS11,,VARIOUS
,,
,,
MS12,,VARIOUS
,,
,,
MS13,,VARIOUS
,,
,,
MS16H,,HOBART
,,
,,
WS10052,,WASHTECH
,,
,,
Z201011,"Z201011000,  20160042",FAGOR
,,
,,
,,
,,
Z401001,"Z401001000, 12023429 FAGOR",FAGOR
,,
,,
,,
,,
DR4002,,
,,
DR4003,,
,,
DR5000,,
,,
DR5002,,
,,
DR5003,,
,,
20.01.800P,,
,,
,,
20.02.552P,,RATIONAL
,,
,,
40.00.274P,,RATIONAL
,,
,,
GCH-1015,,GAMECO
,,
,,
GCH-1015FF,,GAMECO
,,
,,
GCH-1020,,GAMECO
,,
,,
GCH-1020FF,,GAMECO
,,
,,
GCH-1515,,GAMECO
,,
,,
GCH-1515FF,,GAMECO
,,
,,
GCH-1520,,
,,
,,
GCH-1520FF,,
,,
,,
GCH-315,,GAMECO
,,
,,
GCH-315FF,,GAMECO
,,
,,
GCH-320,,GAMECO
,,
,,
GCH-320FF,,GAMECO
,,
,,
GCH-515,,GAMECO
,,
,,
GCH-515FF,,GAMECO
,,
,,
GCH-520,,GAMECO
,,
,,
GCH-520FF,,GAMECO
,,
,,
0.100.011,,S.I.T.
,,
,,
0.100.017,,S.I.T.
,,
,,
0.100.065,,S.I.T.
,,
,,
0.145.027,,S.I.T.
,,
,,
0.160.064,,S.I.T.
,,
,,
0.440.033,,S.I.T.
,,
,,
0.630.336,,S.I.T.
,,
,,
0.710.646,,S.I.T.
,,
,,
0.710.740,,S.I.T.
,,
,,
0.820.302,,S.I.T.
,,
,,
0.892.116,,S.I.T.
,,
,,
10-209,,S.I.T.
,,
,,
6160585,,
,,
,,
6160798,,
,,
,,
6CH24-1,,
,,
,,
82220,,
,,
,,
G52FF08,,
,,
,,
G52FF12,,
,,
,,
P21K,,
,,
,,
R782130,,FAGOR
,,
,,
14.32.39,,
,,
2907352,,
,,
60060073,600 60073,
,,
209061,,
,,
,,
GVA126,,
,,
,,
109070-2,,HOBART
,,
111156,,HOBART
,,
113936,,HOBART
,,
114695,,HOBART
,,
12430-49,,HOBART
,,
12430-55,,HOBART
,,
124734,,HOBART
,,
13160,,HOBART
,,
24735,,HOBART
,,
291130,,HOBART
,,
291236,,HOBART
,,
293615,,HOBART
,,
64723,,HOBART
,,
67500-21,,HOBART
,,
70034,,HOBART
,,
70260,,HOBART
,,
71187,,HOBART
,,
7744,,HOBART
,,
875435,,HOBART
,,
875698,,HOBART
,,
RR-5-8,,HOBART
,,
49643,49666,ZANUSSI/ELECTROLUX
,,
,,
23.10.16,,
,,
,,
5009065,,CONVOTHERM
,,
60030430,"600 30430, 600 30429",WASHTECH
,,
,,
775612-1,00-775612-001,HOBART
,,
,,
775866-2,00-775866-002,HOBART
,,
,,
775866-202,00-775866-202,HOBART
,,
,,
108197-5,,HOBART
,,
114214,,HOBART
,,
118175,,HOBART
,,
118484,,HOBART
,,
119882,,HOBART
,,
271612-2,,HOBART
,,
274926,,HOBART
,,
438845,,HOBART
,,
439870-5,,HOBART
,,
478747,,HOBART
,,
70196,,HOBART
,,
70198,,HOBART
,,
70202,,HOBART
,,
70302,,HOBART
,,
72579,,HOBART
,,
76948,,HOBART
,,
83681,,HOBART
,,
875320,,HOBART
,,
875345,,HOBART
,,
875348,,HOBART
,,
875357,,HOBART
,,
875370,,HOBART
,,
875371,,HOBART
,,
0.200.009,,S.I.T.
,,
,,
0.270.416,,S.I.T.
,,
,,
0.270.436,,S.I.T.
,,
,,
0.892.100,,S.I.T.
,,
,,
0.892.101,,S.I.T.
,,
,,
0.892.102,,S.I.T.
,,
,,
UTK1200,,
,,
,,
UTK1500,,
,,
,,
UTK1800,,
,,
,,
UTK600,,
,,
,,
UTK900,,
,,
,,
0.940.002,,S.I.T.
,,
,,
0.940.003,,S.I.T.
,,
,,
21448,,
,,
,,
W2-G01A,,
,,
,,
180413,,WASHTECH
,,
180415,,BRACTON
,,
3241872,,VARIOUS
,,
,,
40030042-KIT,"400 30042, 1896, 6037",WASHTECH
,,
CUR44,,VARIOUS
,,
2060.1006,"2060.0100, 2060.0215",RATIONAL
,,
50.00.140P,50.01.238P,RATIONAL
,,
20VBWL,,HOBART
,,
,,
20B,,HOBART
,,
,,
20DS,,HOBART
,,
,,
20W,,HOBART
,,
,,
30W,,HOBART
,,
,,
60B,,HOBART
,,
,,
60W,,HOBART
,,
,,
6011010,,CONVOTHERM
,,
6011010-KIT,,CONVOTHERM
,,
6011012,,CONVOTHERM
,,
AUO175,,
,,
G03MK,,
G25RK-SS,,
,,
,,
G-506,,
,,
,,
G50BM-BK,,
,,
,,
G50BR,,
,,
,,
G50KIT,,
,,
,,
G-512,,
,,
,,
G5120CKIT-A,,
,,
G5208,,
,,
,,
G8101,,
,,
G8101Q,,
,,
GF032100,,
,,
,,
GF032512,,
,,
,,
GF032512-C,,
,,
,,
GF032512-LRW,,
,,
GF042100,,
,,
,,
GF042512,,
,,
,,
GF072512-C,,
,,
GF112100,,
,,
,,
GF112512,,
,,
,,
GF152100,,
,,
,,
GF152512,,
,,
,,
GF2914,,
,,
,,
GF2918,,
,,
,,
GF2918A,,
,,
,,
GF2949-2913A,,
,,
,,
GF8312,,
,,
GMB,,
,,
GMS,,
,,
GRM032100,,
,,
,,
GRM032506-C,,
,,
,,
GRM032512,,
,,
,,
GRM032512-C,,
,,
,,
GRM052100,,
,,
,,
GRM052512,,
,,
,,
GRM142100,,
,,
,,
GRM142512,,
,,
,,
GS03RKC-SS,,VARIOUS
,,
,,
GS03RKH-SS,,VARIOUS
,,
,,
GS3012,,FISHER MFG
,,
GTFP3-15,,VARIOUS
,,
GTHR1215RED,,VARIOUS
,,
GUNNA-BLU,,VARIOUS
,,
7.05.61,224030,ESWOOD SMARTWASH
,,
,,
40.03.378P,,RATIONAL
,,
,,
297808-1,,HOBART
300284,"130157 COMENDA, 500064600 MACH",VARIOUS
,,
216006,,VARIOUS
,,
60030161,600 30161,WASHTECH
,,
60030162,600 30162,WASHTECH
,,
60030163,600 30163,WASHTECH
,,
EP-132,,ESWOOD
,,
EP-133,,ESWOOD
,,
60041081,206 10001,WASHTECH
,,
,,
,,HOBART
,,
,,
30DS,,HOBART
,,
,,
190621,C190621,WASHTECH
,,
,,
229039,22.90.39,VARIOUS
229029,22.90.29,VARIOUS
437113,43.71.13 ESWOOD SMARTWASH,"ESWOOD SMARTWASH, NORRIS MADISON, EUROWASH"
,,
,,
437102,43.71.02,"ESWOOD SMARTWASH, NORRIS MADISON"
,,
,,
140025,,NORRIS
,,
,,
56.00.153P,5600153,RATIONAL
,,
115143,11.51.43 ESWOOD SMARTWASH,"ESWOOD SMARTWASH, NORRIS MADISON, EUROWASH"
,,
456040,,HOBART
,,
C-2832R,,ESWOOD
,,
,,
C-0878R,,ESWOOD
,,
,,
C-0021R,,ESWOOD
,,
,,
,,ESWOOD
,,
,,
,,
,,
Z200922,Z200922000,FAGOR
,,
,,HOBART
,,
,,
,,
,,
,600 60053,WASHTECH
,,
,,
167-10-352,,NORRIS
,,
,,
,,
167-10-352-1,,NORRIS
,,
,,
,,
C-0591-1R,,
,,
,,
99.01.37,990137,ESWOOD
99.01.32,990132,ESWOOD
99.01.28,990128,ESWOOD
40010114,,WASHTECH
CS-65/E,SS-251,ESWOOD
,,
,,
,,
,,
60040008,600 40008,WASHTECH
,,HOBART
