sku,compatible_with,manufacturer
24.00.152,"CM 101 G, CM 101 G - WE PLUS, CM 101 G 100V 50-60Hz, CM 101 G 120V 60Hz, CM 102 G, CM 102 G - WE PLUS, CM 102 G 120V 60Hz, CM 61 G, CM 61 G - WE PLUS, CM 61 G 100V 50-60Hz, CM 61 G 120V 60Hz, CM 62 G, CM 62 G - WE PLUS, CM 62 G 100V 50-60Hz, CM 62 G 120V",RATIONAL
,,
,,
24.02.762,"CM 101 G, CM 101 G - WE PLUS, CM 101 G 100V 50-60Hz, CM 101 G 120V 60Hz, CM 102 G, CM 102 G - WE PLUS, CM 102 G 120V 60Hz, CM 61 G, CM 61 G - WE PLUS, CM 61 G 100V 50-60Hz, CM 61 G 120V 60Hz, CM 62 G, CM 62 G - WE PLUS, CM 62 G 100V 50-60Hz, CM 62 G 120V",RATIONAL
,,
,,
2216070K,"OGB10.10, OGB10.20, OGB12.20, OGB20.10, OGB20.20, OGB6.10, OGB6.20, OGS10.10, OGS10.20, OGS12.20, OGS20.10, OGS20.20, OGS6.10, OGS6.20 ",CONVOTHERM
,,
,,
3053003,"36M0270 ANGELO PO, 826410050 BARON, 053096 ELECTROLUX/ZANUSSI, 059227 ELECTROLUX/ZANUSSI, 12008998 FAGOR, MA1304500 LAINOX, RTCU900004 MBM, 6A035930 OLIS","ANGELO PO, BARON, ELECTROLUX/ZANUSSI, FAGOR, LAINOX, MBM, OLIS, "
,,
3053006,"36M0270 ANGELO PO, 826410050 BARON, 053096 ELECTROLUX/ZANUSSI, 059227 ELECTROLUX/ZANUSSI, 12008998 FAGOR, MA1304500 LAINOX, RTCU900004 MBM, 6A035930 OLIS","ANGELO PO, BARON, ELECTROLUX/ZANUSSI, FAGOR, LAINOX, MBM, OLIS"
,,
3053007,"36M0270 ANGELO PO, 826410050 BARON, 053096 ELECTROLUX/ZANUSSI, 059227 ELECTROLUX/ZANUSSI, 12008998 FAGOR, MA1304500 LAINOX, RTCU900004 MBM, 6A035930 OLIS","ANGELO PO, BARON, ELECTROLUX/ZANUSSI, FAGOR, LAINOX, MBM, OLIS"
,,
307003,30.70.03 SMARTWASH,"HOBART, ESWOOD SMARTWASH"
,,
,,
325030,,HOBART
,,
,,
36860,,BRACTON
,,
,,
417041,41.70.41 ESWOOD SMARTWASH,"HOBART, ESWOOD SMARTWASH"
,,
,,
